CustomerID,event_timestamp,CreditScore,Age,Balance,EstimatedSalary,Tenure,NumOfProducts,Exited
CUST00001,2025-05-01 01:51:10.277364+00:00,402,85.0,137440.26,55432.94,6,2.0,0
CUST06664,2025-05-01 01:51:10.277364+00:00,490,64.0,117009.43,21912.56,2,4.0,0
CUST06665,2025-05-01 01:51:10.277364+00:00,623,57.0,132336.79,48394.62,5,3.0,0
CUST06666,2025-05-01 01:51:10.277364+00:00,446,48.0,203789.67,161525.17,0,4.0,0
CUST06667,2025-05-01 01:51:10.277364+00:00,583,86.0,215463.79,153944.24,6,1.0,0
CUST06668,2025-05-01 01:51:10.277364+00:00,512,91.0,170752.94,84729.23,10,1.0,0
CUST06669,2025-05-01 01:51:10.277364+00:00,693,60.0,73549.53,84188.07,6,4.0,0
CUST06670,2025-05-01 01:51:10.277364+00:00,638,72.0,132142.13,177926.41,1,1.0,0
CUST06671,2025-05-01 01:51:10.277364+00:00,321,33.0,32655.46,44556.54,4,4.0,0
CUST06672,2025-05-01 01:51:10.277364+00:00,404,85.0,57527.37,77870.76,3,4.0,0
CUST06673,2025-05-01 01:51:10.277364+00:00,765,86.0,75764.66,155060.44,9,2.0,0
CUST06674,2025-05-01 01:51:10.277364+00:00,758,59.0,18189.98,119171.45,8,3.0,0
CUST06675,2025-05-01 01:51:10.277364+00:00,731,58.0,221247.15,21450.25,1,3.0,0
CUST06676,2025-05-01 01:51:10.277364+00:00,520,67.0,30661.04,12246.54,2,1.0,0
CUST06677,2025-05-01 01:51:10.277364+00:00,678,23.0,174209.68,13635.54,0,1.0,0
CUST06678,2025-05-01 01:51:10.277364+00:00,521,70.0,126415.47,134636.65,9,2.0,0
CUST06663,2025-05-01 01:51:10.277364+00:00,373,61.0,71273.07,96024.75,7,2.0,0
CUST06662,2025-05-01 01:51:10.277364+00:00,838,42.0,160542.34,83827.12,3,1.0,0
CUST06661,2025-05-01 01:51:10.277364+00:00,635,52.0,227452.25,96355.72,8,1.0,0
CUST06660,2025-05-01 01:51:10.277364+00:00,634,56.0,120032.37,42738.66,3,3.0,0
CUST06644,2025-05-01 01:51:10.277364+00:00,770,57.0,201736.32,38555.67,4,1.0,0
CUST06645,2025-05-01 01:51:10.277364+00:00,754,74.0,160771.84,105718.59,6,4.0,0
CUST06646,2025-05-01 01:51:10.277364+00:00,665,68.0,75199.38,163251.31,4,2.0,0
CUST06647,2025-05-01 01:51:10.277364+00:00,589,39.0,130818.74,175580.84,1,4.0,0
CUST06648,2025-05-01 01:51:10.277364+00:00,702,85.0,152975.77,139876.57,10,1.0,1
CUST06649,2025-05-01 01:51:10.277364+00:00,357,25.0,529.63,26495.98,10,3.0,0
CUST06650,2025-05-01 01:51:10.277364+00:00,820,77.0,167628.32,198355.35,7,4.0,0
CUST06679,2025-05-01 01:51:10.277364+00:00,557,34.0,207941.96,128273.02,4,1.0,0
CUST06651,2025-05-01 01:51:10.277364+00:00,603,82.0,164019.52,151949.76,8,4.0,0
CUST06653,2025-05-01 01:51:10.277364+00:00,509,88.0,196938.33,164598.35,1,3.0,0
CUST06654,2025-05-01 01:51:10.277364+00:00,340,46.0,206272.21,121828.85,1,,0
CUST06655,2025-05-01 01:51:10.277364+00:00,472,82.0,72540.62,124528.7,3,4.0,0
CUST06656,2025-05-01 01:51:10.277364+00:00,533,73.0,40553.16,194547.43,7,1.0,0
CUST06657,2025-05-01 01:51:10.277364+00:00,702,21.0,171620.37,162214.32,4,4.0,0
CUST06658,2025-05-01 01:51:10.277364+00:00,338,89.0,30837.54,59808.63,4,4.0,0
CUST06659,2025-05-01 01:51:10.277364+00:00,418,67.0,214510.6,43280.01,6,4.0,0
CUST06652,2025-05-01 01:51:10.277364+00:00,414,53.0,20644.61,91026.86,10,4.0,0
CUST06643,2025-05-01 01:51:10.277364+00:00,679,45.0,31758.89,11818.53,8,,0
CUST06680,2025-05-01 01:51:10.277364+00:00,666,74.0,185258.94,18457.18,2,1.0,0
CUST06682,2025-05-01 01:51:10.277364+00:00,524,33.0,104586.57,147286.14,3,,0
CUST06703,2025-05-01 01:51:10.277364+00:00,762,58.0,45206.62,88049.05,10,2.0,0
CUST06704,2025-05-01 01:51:10.277364+00:00,736,31.0,105241.89,58189.74,9,3.0,0
CUST06705,2025-05-01 01:51:10.277364+00:00,609,38.0,231047.28,101387.52,5,2.0,0
CUST06706,2025-05-01 01:51:10.277364+00:00,580,,18838.59,99478.5,8,2.0,0
CUST06707,2025-05-01 01:51:10.277364+00:00,622,,137646.12,198230.33,7,4.0,0
CUST06708,2025-05-01 01:51:10.277364+00:00,451,70.0,143036.09,77355.83,6,2.0,0
CUST06709,2025-05-01 01:51:10.277364+00:00,601,65.0,190766.68,191895.93,6,2.0,0
CUST06710,2025-05-01 01:51:10.277364+00:00,577,87.0,206782.72,183286.21,5,2.0,0
CUST06711,2025-05-01 01:51:10.277364+00:00,307,,106035.95,95407.1,5,2.0,0
CUST06712,2025-05-01 01:51:10.277364+00:00,534,21.0,185920.76,189546.41,0,4.0,0
CUST06713,2025-05-01 01:51:10.277364+00:00,601,41.0,227609.83,148486.96,6,3.0,0
CUST06714,2025-05-01 01:51:10.277364+00:00,337,48.0,221566.55,178152.11,4,3.0,0
CUST06715,2025-05-01 01:51:10.277364+00:00,435,46.0,125454.77,179436.52,6,4.0,0
CUST06716,2025-05-01 01:51:10.277364+00:00,720,22.0,151757.39,26237.57,5,1.0,0
CUST06717,2025-05-01 01:51:10.277364+00:00,518,84.0,168202.22,180396.72,7,2.0,0
CUST06702,2025-05-01 01:51:10.277364+00:00,498,73.0,218500.58,173863.78,4,4.0,0
CUST06701,2025-05-01 01:51:10.277364+00:00,718,47.0,25746.03,83066.62,9,4.0,0
CUST06700,2025-05-01 01:51:10.277364+00:00,386,71.0,74087.83,20891.79,9,3.0,0
CUST06699,2025-05-01 01:51:10.277364+00:00,675,58.0,159083.86,175158.52,5,4.0,0
CUST06683,2025-05-01 01:51:10.277364+00:00,535,69.0,208494.03,68822.07,5,4.0,0
CUST06684,2025-05-01 01:51:10.277364+00:00,482,51.0,23685.47,198420.24,9,4.0,0
CUST06685,2025-05-01 01:51:10.277364+00:00,743,37.0,111104.75,69372.08,6,1.0,0
CUST06686,2025-05-01 01:51:10.277364+00:00,305,73.0,248653.52,73780.53,6,4.0,0
CUST06687,2025-05-01 01:51:10.277364+00:00,535,,237028.64,89699.54,10,3.0,0
CUST06688,2025-05-01 01:51:10.277364+00:00,426,70.0,20553.15,167254.69,7,3.0,0
CUST06689,2025-05-01 01:51:10.277364+00:00,403,66.0,143246.4,115885.36,2,3.0,0
CUST06681,2025-05-01 01:51:10.277364+00:00,648,84.0,189934.5,35072.93,3,4.0,0
CUST06690,2025-05-01 01:51:10.277364+00:00,779,21.0,78912.65,172876.69,4,2.0,0
CUST06692,2025-05-01 01:51:10.277364+00:00,556,53.0,183946.86,125573.35,5,3.0,0
CUST06693,2025-05-01 01:51:10.277364+00:00,534,52.0,23.32,10877.67,5,3.0,0
CUST06694,2025-05-01 01:51:10.277364+00:00,799,47.0,211454.8,119354.08,7,4.0,0
CUST06695,2025-05-01 01:51:10.277364+00:00,588,80.0,55895.68,25299.31,4,2.0,0
CUST06696,2025-05-01 01:51:10.277364+00:00,809,38.0,241476.65,46672.61,4,1.0,0
CUST06697,2025-05-01 01:51:10.277364+00:00,597,69.0,226357.83,199532.29,0,1.0,0
CUST06698,2025-05-01 01:51:10.277364+00:00,436,86.0,47664.76,131064.15,0,2.0,0
CUST06691,2025-05-01 01:51:10.277364+00:00,454,,182118.13,91169.37,9,2.0,0
CUST06718,2025-05-01 01:51:10.277364+00:00,647,70.0,204777.2,103020.32,2,4.0,0
CUST06642,2025-05-01 01:51:10.277364+00:00,539,36.0,75364.95,53110.55,2,2.0,0
CUST06640,2025-05-01 01:51:10.277364+00:00,666,76.0,193361.03,197580.86,10,2.0,0
CUST06586,2025-05-01 01:51:10.277364+00:00,715,,222702.64,38396.86,6,3.0,0
CUST06587,2025-05-01 01:51:10.277364+00:00,625,33.0,202389.63,111062.45,5,3.0,0
CUST06588,2025-05-01 01:51:10.277364+00:00,670,,82523.56,112928.65,8,2.0,1
CUST06589,2025-05-01 01:51:10.277364+00:00,643,40.0,130398.99,77560.51,10,4.0,0
CUST06590,2025-05-01 01:51:10.277364+00:00,561,85.0,213187.11,125421.87,9,2.0,0
CUST06591,2025-05-01 01:51:10.277364+00:00,582,37.0,25857.78,88261.78,6,3.0,0
CUST06592,2025-05-01 01:51:10.277364+00:00,528,34.0,34534.86,153479.43,2,2.0,0
CUST06593,2025-05-01 01:51:10.277364+00:00,579,69.0,178881.73,17259.92,5,1.0,0
CUST06594,2025-05-01 01:51:10.277364+00:00,589,23.0,20551.37,11890.67,6,4.0,0
CUST06595,2025-05-01 01:51:10.277364+00:00,346,56.0,88141.62,109544.98,6,4.0,0
CUST06596,2025-05-01 01:51:10.277364+00:00,513,51.0,62952.08,197952.38,5,2.0,0
CUST06597,2025-05-01 01:51:10.277364+00:00,323,71.0,190071.47,94637.62,2,4.0,0
CUST06598,2025-05-01 01:51:10.277364+00:00,620,,611.97,12257.04,5,4.0,0
CUST06599,2025-05-01 01:51:10.277364+00:00,573,46.0,28846.18,70250.12,1,3.0,0
CUST06600,2025-05-01 01:51:10.277364+00:00,612,58.0,24751.89,98777.67,9,3.0,0
CUST06585,2025-05-01 01:51:10.277364+00:00,457,62.0,27129.96,112296.04,6,2.0,0
CUST06584,2025-05-01 01:51:10.277364+00:00,727,46.0,19274.56,118319.53,3,,0
CUST06583,2025-05-01 01:51:10.277364+00:00,455,80.0,171254.06,108106.31,8,1.0,0
CUST06582,2025-05-01 01:51:10.277364+00:00,521,72.0,235322.83,141259.39,5,4.0,0
CUST06566,2025-05-01 01:51:10.277364+00:00,670,19.0,229198.27,154188.31,9,1.0,1
