CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CUST00001,402,Spain,Female,85.0,6,137440.26,2.0,1,1,55432.94,0
CUST00002,735,Germany,Female,25.0,10,97507.41,1.0,0,0,128315.52,0
CUST00003,570,France,Male,90.0,2,16474.33,2.0,1,0,65679.89,0
CUST00004,406,Germany,Female,62.0,0,143566.45,3.0,1,1,35706.23,0
CUST00005,371,France,Male,34.0,6,198557.1,3.0,1,1,56948.61,0
CUST00006,320,France,Male,58.0,7,139050.91,2.0,1,1,99856.37,0
CUST00007,421,France,Female,26.0,4,69835.54,3.0,0,0,184735.67,0
CUST00008,766,Germany,Male,87.0,5,65957.26,4.0,1,1,83910.75,0
CUST00009,514,Spain,Female,41.0,2,59459.64,4.0,0,0,20615.21,1
CUST00010,630,France,Female,90.0,4,244907.91,2.0,1,0,14515.91,0
CUST00011,758,France,Male,28.0,2,99804.89,4.0,1,0,49875.41,0
CUST00012,387,France,Male,52.0,1,79217.44,4.0,0,1,19885.48,0
CUST00013,672,Spain,Male,46.0,6,104617.02,2.0,1,1,80514.58,0
CUST00014,399,Germany,Female,25.0,9,28949.48,2.0,1,1,83008.06,0
CUST00015,430,Germany,Female,,10,49004.88,2.0,1,1,194706.75,0
CUST00016,608,Germany,Male,88.0,6,127225.54,4.0,1,0,68184.57,0
CUST00017,643,Germany,Female,29.0,7,199711.79,3.0,1,0,123797.49,0
CUST00018,791,France,Female,67.0,0,219106.67,1.0,1,1,165576.5,0
CUST00019,713,Spain,Male,41.0,1,216496.19,3.0,1,1,107474.34,0
CUST00020,685,France,Female,,1,236187.72,2.0,0,0,142348.57,0
CUST00021,491,Spain,Male,28.0,2,31442.88,3.0,0,1,195133.88,0
CUST00022,576,Germany,Male,76.0,6,10242.57,1.0,0,0,71588.94,0
CUST00023,460,Spain,Male,,6,26432.8,3.0,1,0,24100.01,0
CUST00024,759,France,Female,,6,150185.56,2.0,0,1,91759.78,0
CUST00025,613,France,Male,84.0,0,139029.75,1.0,1,0,112720.38,0
CUST00026,321,Germany,Male,77.0,1,167802.52,4.0,1,0,120197.42,0
CUST00027,552,France,Male,19.0,7,92772.66,3.0,0,0,150326.89,0
CUST00028,774,France,Male,85.0,8,97897.2,4.0,1,1,180636.15,0
CUST00029,358,Spain,Female,35.0,9,136393.77,4.0,0,0,105031.4,0
CUST00030,810,France,Male,37.0,6,19764.03,1.0,0,1,37247.08,0
CUST00031,775,Germany,Female,80.0,0,199968.04,4.0,0,0,86647.6,0
CUST00032,489,Germany,Male,89.0,3,230713.89,4.0,0,1,39520.19,0
CUST00033,543,France,Female,19.0,9,968363.0,3.0,1,0,44637.6,0
CUST00034,804,Germany,Female,59.0,7,184893.11,1.0,0,0,10322.95,0
CUST00035,430,Spain,Female,45.0,4,1372086.7999999998,2.0,0,0,186645.31,0
CUST00036,784,Spain,Female,46.0,0,59002.15,2.0,1,0,151599.38,0
CUST00037,320,France,Male,86.0,6,16949.45,1.0,0,1,29052.45,0
CUST00038,466,France,Male,45.0,5,61474.73,4.0,1,0,184820.22,0
CUST00039,573,Spain,Female,77.0,8,151226.54,3.0,0,0,175368.08,0
CUST00040,687,Germany,Female,22.0,3,10057.44,4.0,0,1,182879.1,0
CUST00041,615,France,Female,32.0,3,209047.68,2.0,1,0,28489.65,0
CUST00042,313,France,Male,90.0,7,242576.55,3.0,0,0,25179.69,0
CUST00043,541,Germany,Female,49.0,3,20875.48,,0,1,22869.7,0
CUST00044,645,France,Female,69.0,2,61674.48,4.0,1,0,193715.23,0
CUST00045,639,Germany,Male,54.0,6,168908.4,,0,1,135489.3,0
CUST00046,391,Germany,Male,32.0,4,201520.08,3.0,0,0,43816.6,0
CUST00047,666,Germany,Male,58.0,8,86498.52,4.0,1,1,186540.3,0
CUST00048,754,Germany,Male,21.0,4,128809.61,1.0,0,0,94201.36,0
CUST00049,727,Germany,Male,70.0,8,222939.85,3.0,1,1,159234.93,0
CUST00050,808,Spain,Male,,5,96099.59,1.0,1,1,130875.76,0
CUST00051,334,Germany,Female,38.0,5,20384.57,1.0,0,1,133434.41,0
CUST00052,505,Spain,Female,,10,248723.53,1.0,1,0,93548.54,0
CUST00053,380,Germany,Male,81.0,5,45070.05,1.0,0,0,85040.54,0
CUST00054,687,France,Female,88.0,6,12195.45,4.0,1,1,40764.9,0
CUST00055,301,Spain,Male,64.0,10,102663.4,3.0,0,0,23448.33,0
CUST00056,689,France,Female,71.0,3,30365.88,4.0,0,1,186318.39,0
CUST00057,405,Germany,Male,48.0,3,244683.35,2.0,1,1,187958.5,0
CUST00058,776,Germany,Male,34.0,8,95198.46,1.0,1,0,131846.61,0
CUST00059,701,France,Female,67.0,6,206452.78,,0,1,83731.64,1
CUST00060,461,Germany,Female,24.0,10,44151.35,2.0,0,0,14767.1,0
CUST00061,501,France,Male,45.0,9,34703.69,2.0,0,1,95054.67,0
CUST00062,569,Germany,Male,27.0,5,162323.28,1.0,0,0,135205.31,0
CUST00063,570,Germany,Male,44.0,0,227327.53,4.0,1,1,67054.5,0
CUST00064,755,Spain,Male,30.0,6,28634.11,4.0,1,1,75063.08,0
CUST00065,761,France,Male,83.0,5,147313.49,1.0,0,0,99741.45,0
CUST00066,551,Germany,Male,77.0,3,21234.87,3.0,0,0,104034.37,0
CUST00067,595,France,Female,60.0,7,203040.74,,0,0,151144.31,0
