CreditScore,Age,Balance,EstimatedSalary,Tenure,NumOfProducts,Exited
396,77.0,248181.06,111645.47,1,4.0,0
534,58.0,200436.81,129848.89,7,3.0,0
532,54.499,138666.81,77456.64,7,2.0,0
485,30.0,144209.45,113409.23,1,1.0,0
555,21.0,177450.95,81595.93,3,1.0,0
604,49.0,225950.33,46208.82,1,2.4913684210526315,0
679,40.0,211526.88,141039.49,0,1.0,0
410,21.0,182942.32,37198.52,1,4.0,0
322,68.0,142565.62,157234.83,9,1.0,0
630,61.0,31743.25,100417.75,3,1.0,0
570,37.0,229169.46,133846.96,2,1.0,0
651,70.0,41733.72,91430.61,0,3.0,0
655,31.0,82902.25,63476.08,8,3.0,0
361,54.499,185617.4,174995.55,2,4.0,0
477,88.0,210297.82,32379.24,2,4.0,0
845,71.0,18750.58,188833.96,2,3.0,0
792,24.0,148488.44,123821.5,7,1.0,0
751,82.0,145640.08,62129.0,6,4.0,1
559,65.0,245440.52,166588.82,7,1.0,0
583,27.0,163115.24,93856.79,6,1.0,0
734,33.0,71903.59,88563.73,5,4.0,0
738,56.0,47164.25,66138.16,3,3.0,0
683,54.499,82218.11,133974.37,9,3.0,0
458,54.499,153758.95,54439.98,1,2.0,0
787,83.0,245067.45,102156.43,7,2.4913684210526315,0
516,33.0,240351.23,45037.26,9,2.0,0
653,54.499,96389.86,181238.38,1,1.0,0
633,21.0,90585.51,177300.84,2,1.0,0
554,66.0,223032.51,184220.36,4,1.0,0
388,33.0,35586.77,135668.27,0,4.0,0
804,52.0,181456.75,103287.2,9,2.0,1
765,86.0,221377.61,189219.99,10,1.0,0
816,30.0,136546.18,51884.72,10,3.0,0
381,38.0,61247.44,195680.2,3,1.0,0
495,86.0,228661.6,11654.18,7,4.0,0
349,54.499,208435.94,65681.15,1,4.0,0
316,61.0,87413.86,162072.49,3,2.0,0
597,30.0,86087.73,11133.67,7,4.0,0
771,72.0,125136.01,95441.86,9,1.0,0
528,54.499,2559.11,102741.39,0,4.0,0
339,58.0,216233.54,59773.52,3,3.0,0
393,28.0,38697.78,51110.28,9,4.0,0
748,75.0,238514.2,92845.27,10,3.0,0
801,85.0,143677.74,163817.83,9,4.0,0
595,19.0,214356.78,71030.71,0,2.0,0
386,33.0,231081.74,81454.18,9,3.0,0
628,34.0,144771.26,64100.62,10,2.0,0
772,90.0,34393.38,187318.88,2,1.0,0
686,81.0,145443.61,70406.35,0,1.0,0
575,24.0,231768.08,126041.79,3,3.0,0
539,42.0,39926.37,176231.49,4,1.0,0
602,28.0,174114.52,141509.09,8,1.0,0
363,18.0,66668.88,134751.42,5,2.0,0
839,79.0,193191.46,119715.1,7,1.0,0
695,61.0,79840.3,140769.11,0,4.0,0
708,22.0,213785.55,63403.74,2,2.0,0
379,41.0,4924.95,133735.08,2,2.0,0
588,42.0,161310.13,148219.53,4,4.0,0
414,53.0,20644.61,91026.86,10,4.0,0
715,72.0,247617.31,168642.42,6,1.0,0
455,54.499,127090.91,165972.8,2,2.0,0
373,68.0,147445.13,167149.73,1,3.0,0
420,65.0,45011.7,162108.95,1,2.4913684210526315,0
397,33.0,160042.96,29034.41,10,4.0,0
848,54.499,77120.24,114084.65,10,4.0,0
331,54.499,193853.79,22835.85,6,1.0,0
776,49.0,82487.06,14122.82,10,3.0,0
739,82.0,238882.73,189791.67,10,1.0,0
641,53.0,129057.95,27791.02,3,1.0,0
412,78.0,18250.58,186809.68,0,4.0,0
316,54.0,63395.62,125246.65,2,2.0,0
314,90.0,173444.74,120702.93,7,1.0,0
658,42.0,136929.89,169790.01,2,4.0,0
831,89.0,71273.91,16158.67,10,3.0,0
467,23.0,18127.43,82313.68,5,1.0,0
817,37.0,132581.53,11230.01,4,3.0,0
559,36.0,132629.72,121082.65,4,3.0,1
688,54.499,95596.17,81038.85,7,1.0,0
837,44.0,80931.63,165308.2,0,2.4913684210526315,0
457,76.0,232322.75,90727.29,2,2.0,0
483,76.0,53150.02,148538.11,2,4.0,0
300,55.0,105914.55,196457.57,10,1.0,0
356,54.499,76266.87,111206.96,0,1.0,1
514,64.0,128375.18,189040.48,2,1.0,1
806,23.0,91109.25,70202.12,3,3.0,0
803,22.0,139066.07,163734.77,9,4.0,0
500,64.0,109516.6,10325.46,4,4.0,0
416,56.0,70775.29,136088.69,0,2.0,0
632,75.0,72654.16,181617.72,6,1.0,0
773,90.0,238186.17,184847.45,2,1.0,0
454,58.0,166124.84,192436.7,9,3.0,0
430,62.0,32239.54,98282.93,6,1.0,0
594,47.0,194612.26,97685.24,1,4.0,0
365,83.0,163177.65,142049.68,4,4.0,0
827,20.0,6624.33,167386.82,0,4.0,0
776,83.0,25000.8,137347.73,5,3.0,0
341,36.0,104897.34,80391.42,4,1.0,0
488,68.0,146212.98,39940.47,9,1.0,0
366,54.499,186049.49,171497.81,1,2.0,0
663,61.0,175395.59,41621.23,5,2.0,0
334,54.499,95333.78,124085.23,4,3.0,0
643,28.0,248456.68,92413.33,5,2.0,1
411,70.0,170380.73,196221.38,1,2.0,0
377,20.0,18200.38,14811.4,9,1.0,0
744,84.0,130403.37,145431.64,4,2.4913684210526315,0
364,40.0,76432.33,22884.68,4,1.0,0
716,27.0,186797.15,137392.72,5,1.0,0
371,26.0,84014.29,155746.32,9,2.0,0
721,56.0,233457.51,128752.26,5,3.0,0
796,65.0,140604.47,162922.5,7,3.0,0
613,54.499,214454.36,131705.23,5,3.0,0
442,54.499,106663.63,199484.49,9,3.0,0
521,41.0,25632.43,22299.9,3,3.0,0
820,68.0,44709.51,169612.43,3,3.0,0
686,30.0,198271.87,135004.03,3,3.0,0
359,58.0,43082.69,32702.81,3,4.0,0
710,43.0,147597.05,149150.76,3,1.0,0
314,40.0,185215.77,97416.85,10,2.0,0
673,83.0,147910.83,141872.77,9,1.0,0
486,85.0,240952.04,79600.64,5,3.0,0
495,31.0,88871.72,194319.77,8,3.0,0
658,43.0,70047.09,111705.46,3,3.0,0
805,79.0,215128.15,28429.6,1,4.0,1
393,18.0,59822.63,41867.64,2,3.0,0
534,18.0,219492.87,47196.91,5,4.0,0
791,47.0,174787.86,186592.92,7,2.0,0
326,20.0,33039.49,39502.1,0,3.0,0
375,40.0,155212.41,21819.4,2,4.0,0
715,30.0,191008.52,152730.94,2,1.0,0
706,90.0,231569.31,184404.48,3,4.0,0
742,51.0,249668.87,142122.69,6,3.0,0
623,47.0,182243.88,198092.46,8,1.0,0
494,45.0,110376.98,19868.45,8,4.0,0
680,88.0,63260.64,67000.77,9,1.0,0
828,48.0,233967.97,15649.3,7,4.0,0
519,69.0,122942.28,39054.59,3,1.0,0
625,44.0,84978.04,35077.66,2,4.0,0
599,62.0,76322.71,22419.81,0,3.0,0
738,22.0,72647.12,113938.07,10,2.0,0
586,65.0,88700.14,65499.76,1,4.0,0
343,36.0,184331.73,139600.7,0,2.4913684210526315,1
469,81.0,44494.0,82592.17,1,4.0,0
464,54.499,45538.98,94793.34,8,3.0,0
671,29.0,189474.85,70755.87,9,4.0,0
705,31.0,9657.81,35383.42,9,3.0,0
325,65.0,103329.82,72307.85,0,1.0,0
849,84.0,59839.97,181001.95,4,4.0,0
793,45.0,218188.63,109982.27,6,2.0,0
760,89.0,235266.86,14502.01,2,1.0,0
336,91.0,153261.05,91373.28,1,4.0,1
436,57.0,248221.18,65166.4,1,1.0,0
408,87.0,82649.2,129823.94,2,2.0,0
400,51.0,103234.57,188692.34,4,4.0,0
387,25.0,194926.25,31392.12,8,1.0,0
745,52.0,116847.57,36097.71,7,4.0,0
709,86.0,44108.17,77988.17,6,4.0,0
462,85.0,217862.38,21999.13,3,2.0,0
399,54.0,65922.7,93849.29,10,1.0,0
667,34.0,159080.1,117989.84,9,3.0,0
707,58.0,85564.21,148703.59,0,4.0,0
